rgn_name,rgn_id,rgn_code,year,species,harvest_kgs,stock_id,assessed,rgn_catch,catch_prop
Strait of Georgia,6,SG,2014,dogfish,46870.91,NA,0,15505560.66062311,0.0030228452247476768
North Coast,1,NC,2014,dogfish,5597.57,NA,0,8738613.755689513,6.405558314504459e-4
Haida Gwaii,2,HG,2014,dogfish,1100.42,NA,0,9029312.29,1.2187196152454709e-4
Central Coast,3,CC,2014,dogfish,134.54,NA,0,4845805.251217306,2.776421936605943e-5
North Vancouver Island,4,NV,2014,dogfish,9500.75,NA,0,5643027.871330182,0.001683626275934106
Aristazabal Island,8,AZ,2014,dogfish,296.62,NA,0,1330071.9520534652,2.2301049168208962e-4
Pacific Offshore,7,PO,2014,dogfish,0,NA,0,8847.82,0
West Vancouver Island,5,WV,2013,dogfish,315488.61,NA,0,17867546.998836838,0.01765707458447083
Strait of Georgia,6,SG,2013,dogfish,60540.52,NA,0,14092531.850460354,0.004295929265401827
North Coast,1,NC,2013,dogfish,675.66,NA,0,4330308.408733,1.560304570079549e-4
Haida Gwaii,2,HG,2013,dogfish,623.22,NA,0,6216991.811604084,1.0024462294396994e-4
Central Coast,3,CC,2013,dogfish,325.73,NA,0,9412649.495147534,3.460555927084317e-5
North Vancouver Island,4,NV,2013,dogfish,1460,NA,0,5227998.770110408,2.792655591939183e-4
West Vancouver Island,5,WV,2012,dogfish,580154.02,NA,0,16261364.429980952,0.03567683526791728
Strait of Georgia,6,SG,2012,dogfish,70884.07,NA,0,11305432.708615396,0.006269912158778516
North Coast,1,NC,2012,dogfish,17136.24,NA,0,3888577.477974049,0.004406814599185508
Haida Gwaii,2,HG,2012,dogfish,9208.43,NA,0,10845063.119959434,8.490895717381905e-4
Central Coast,3,CC,2012,dogfish,13678.72,NA,0,5370408.079975308,0.002547054115124691
North Vancouver Island,4,NV,2012,dogfish,117468.15,NA,0,5604487.737356744,0.02095965867085682
Aristazabal Island,8,AZ,2012,dogfish,25479.17,NA,0,85526.64,0.297909166079715
Pacific Offshore,7,PO,2012,dogfish,3514.14,NA,0,12253.869999999999,0.2867779729995504
West Vancouver Island,5,WV,2011,dogfish,739776.42,NA,0,16201545.27479303,0.04566085564387317
Strait of Georgia,6,SG,2011,dogfish,62172.41,NA,0,7682969.610764271,0.008092236875815957
North Coast,1,NC,2011,dogfish,13170.48,NA,0,8595484.047202013,0.0015322557668276087
Haida Gwaii,2,HG,2011,dogfish,4002.28,NA,0,7319205.81,5.468188904500829e-4
Central Coast,3,CC,2011,dogfish,14511.33,NA,0,5212590.872784705,0.0027838996679683133
North Vancouver Island,4,NV,2011,dogfish,17062.74,NA,0,6655342.677632233,0.0025637658083851518
Aristazabal Island,8,AZ,2011,dogfish,244.67,NA,0,993976.140166846,2.46152789903921e-4
West Vancouver Island,5,WV,2010,dogfish,1309636.12,NA,0,11130145.004029172,0.11766568355811222
Strait of Georgia,6,SG,2010,dogfish,155730.07,NA,0,7867123.9394489,0.019795044694682802
North Coast,1,NC,2010,dogfish,104757.67,NA,0,3841450.283543457,0.027270343820086803
Haida Gwaii,2,HG,2010,dogfish,20712.78,NA,0,9241521.132846788,0.0022412738879513407
Central Coast,3,CC,2010,dogfish,24615.75,NA,0,9532951.747544048,0.0025821750337026196
North Vancouver Island,4,NV,2010,dogfish,65576.96,NA,0,6063301.455335896,0.010815388362768968
Aristazabal Island,8,AZ,2010,dogfish,6939.5,NA,0,588791.5203010635,0.011786005335898287
Pacific Offshore,7,PO,2010,dogfish,3278.45,NA,0,29268.309999999998,0.11201364205859511
West Vancouver Island,5,WV,2009,dogfish,3427477.01,NA,0,14834480.446425686,0.2310479980999832
Strait of Georgia,6,SG,2009,dogfish,232568.36,NA,0,18541696.928107597,0.012542992203019273
North Coast,1,NC,2009,dogfish,44026.65,NA,0,5081576.212980492,0.008663975143684225
Haida Gwaii,2,HG,2009,dogfish,33277.56,NA,0,14117849.720231751,0.002357126663015204
Central Coast,3,CC,2009,dogfish,41877.68,NA,0,5085115.877180197,0.008235344289385603
North Vancouver Island,4,NV,2009,dogfish,135762.91,NA,0,6861057.560052206,0.019787461162032137
Aristazabal Island,8,AZ,2009,dogfish,9671.36,NA,0,454057.20029877074,0.021299871455922784
Pacific Offshore,7,PO,2009,dogfish,5773.62,NA,0,9615.72,0.6004355368084762
West Vancouver Island,5,WV,2008,dogfish,1372207.18,NA,0,15511990.370206352,0.08846106445731025
Strait of Georgia,6,SG,2008,dogfish,317244.28,NA,0,12167682.550480561,0.02607269532910936
North Coast,1,NC,2008,dogfish,29376.84,NA,0,9152255.537298894,0.0032097923708836905
Haida Gwaii,2,HG,2008,dogfish,21973.33,NA,0,11240284.73,0.0019548730773121616
Central Coast,3,CC,2008,dogfish,53754.29,NA,0,4152124.140710771,0.012946214558700118
North Vancouver Island,4,NV,2008,dogfish,31322.26,NA,0,4422887.674816839,0.007081857443123314
Aristazabal Island,8,AZ,2008,dogfish,3201.72,NA,0,1142380.2229039313,0.002802674569996691
Pacific Offshore,7,PO,2008,dogfish,2526.75,NA,0,12437.29,0.2031592091203148
West Vancouver Island,5,WV,2007,dogfish,3139161.39,NA,0,10667102.251645884,0.2942843628892413
Strait of Georgia,6,SG,2007,dogfish,293403.63,NA,0,13399208.115038458,0.02189708731150325
North Coast,1,NC,2007,dogfish,28997.12,NA,0,4634037.613483222,0.006257420076960492
Haida Gwaii,2,HG,2007,dogfish,33921.25,NA,0,11755290.6,0.002885615605283293
Central Coast,3,CC,2007,dogfish,41293.13,NA,0,9862748.438992398,0.004186777170220373
North Vancouver Island,4,NV,2007,dogfish,86972.78,NA,0,4939794.8401448,0.017606557117147516
Aristazabal Island,8,AZ,2007,dogfish,2765.42,NA,0,187168.9044411718,0.014774996991389596
West Vancouver Island,5,WV,2015,dungeness_crab,1637359,NA,0,33452129.480067726,0.04894633093464533
Strait of Georgia,6,SG,2015,dungeness_crab,2719563,NA,0,16912592.048037514,0.16080107604295757
North Coast,1,NC,2015,dungeness_crab,781401,NA,0,6183163.396933077,0.12637560255767852
Haida Gwaii,2,HG,2015,dungeness_crab,2736739,NA,0,13542664.750681318,0.20208275478888432
Central Coast,3,CC,2015,dungeness_crab,66067,NA,0,4916529.47,0.013437730904112734
North Vancouver Island,4,NV,2015,dungeness_crab,549963,NA,0,5674150.295034657,0.09692429199157138
Aristazabal Island,8,AZ,2015,dungeness_crab,1887,NA,0,130331.65999999999,0.014478446756528691
Pacific Offshore,7,PO,2015,dungeness_crab,0,NA,0,41149.73,0
West Vancouver Island,5,WV,2014,dungeness_crab,1330841,NA,0,22716529.430170547,0.058584697283576584
Strait of Georgia,6,SG,2014,dungeness_crab,2376739,NA,0,15505560.66062311,0.15328300936810418
North Coast,1,NC,2014,dungeness_crab,655214,NA,0,8738613.755689513,0.07497916927309037
Haida Gwaii,2,HG,2014,dungeness_crab,2833374,NA,0,9029312.29,0.31379732021651013
Central Coast,3,CC,2014,dungeness_crab,207568,NA,0,4845805.251217306,0.04283457325237271
North Vancouver Island,4,NV,2014,dungeness_crab,426018,NA,0,5643027.871330182,0.07549457661983486
Aristazabal Island,8,AZ,2014,dungeness_crab,5117,NA,0,1330071.9520534652,0.00384716029241876
Pacific Offshore,7,PO,2014,dungeness_crab,0,NA,0,8847.82,0
West Vancouver Island,5,WV,2013,dungeness_crab,1151325,NA,0,17867546.998836838,0.06443665714577106
Strait of Georgia,6,SG,2013,dungeness_crab,2342466,NA,0,14092531.850460354,0.1662203800464343
North Coast,1,NC,2013,dungeness_crab,558070,NA,0,4330308.408733,0.1288753472788524
Haida Gwaii,2,HG,2013,dungeness_crab,1791455,NA,0,6216991.811604084,0.28815463399135083
Central Coast,3,CC,2013,dungeness_crab,647663,NA,0,9412649.495147534,0.06880772521423295
North Vancouver Island,4,NV,2013,dungeness_crab,415767,NA,0,5227998.770110408,0.07952698886943686
Pacific Offshore,7,PO,2013,dungeness_crab,0,NA,0,30041.54,0
West Vancouver Island,5,WV,2012,dungeness_crab,954025,NA,0,16261364.429980952,0.05866820118987503
Strait of Georgia,6,SG,2012,dungeness_crab,2353641,NA,0,11305432.708615396,0.20818672408764938
North Coast,1,NC,2012,dungeness_crab,407820,NA,0,3888577.477974049,0.10487639819702768
Haida Gwaii,2,HG,2012,dungeness_crab,1835978,NA,0,10845063.119959434,0.16929159191531448
Central Coast,3,CC,2012,dungeness_crab,752573,NA,0,5370408.079975308,0.14013329877223413
North Vancouver Island,4,NV,2012,dungeness_crab,355825,NA,0,5604487.737356744,0.06348929941058601
Aristazabal Island,8,AZ,2012,dungeness_crab,2460,NA,0,85526.64,0.028762967889303263
Pacific Offshore,7,PO,2012,dungeness_crab,0,NA,0,12253.869999999999,0
West Vancouver Island,5,WV,2011,dungeness_crab,1198442,NA,0,16201545.27479303,0.07397084535291709
Strait of Georgia,6,SG,2011,dungeness_crab,2368650,NA,0,7682969.610764271,0.30829875946422963
North Coast,1,NC,2011,dungeness_crab,455123,NA,0,8595484.047202013,0.05294908320470339
Haida Gwaii,2,HG,2011,dungeness_crab,1961424,NA,0,7319205.81,0.26798317343668193
Central Coast,3,CC,2011,dungeness_crab,62606,NA,0,5212590.872784705,0.012010534018096496
North Vancouver Island,4,NV,2011,dungeness_crab,515525,NA,0,6655342.677632233,0.07746032397890111
Aristazabal Island,8,AZ,2011,dungeness_crab,3680,NA,0,993976.140166846,0.003702302149206807
Pacific Offshore,7,PO,2011,dungeness_crab,0,NA,0,6367.5,0
West Vancouver Island,5,WV,2010,dungeness_crab,1559837,NA,0,11130145.004029172,0.14014525412160675
Strait of Georgia,6,SG,2010,dungeness_crab,3018593,NA,0,7867123.9394489,0.383697145644747
North Coast,1,NC,2010,dungeness_crab,787698,NA,0,3841450.283543457,0.20505224377742207
Haida Gwaii,2,HG,2010,dungeness_crab,4384831,NA,0,9241521.132846788,0.4744706998954059
Central Coast,3,CC,2010,dungeness_crab,59837,NA,0,9532951.747544048,0.00627685963221367
North Vancouver Island,4,NV,2010,dungeness_crab,539909,NA,0,6063301.455335896,0.08904538294477558
Aristazabal Island,8,AZ,2010,dungeness_crab,2855,NA,0,588791.5203010635,0.0048489149411325904
Pacific Offshore,7,PO,2010,dungeness_crab,0,NA,0,29268.309999999998,0
West Vancouver Island,5,WV,2009,dungeness_crab,1167895,NA,0,14834480.446425686,0.07872840604143977
Strait of Georgia,6,SG,2009,dungeness_crab,3634943,NA,0,18541696.928107597,0.19604154970787724
